seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
400,55,56,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.19625483124499998,0.003599291286154771,0.004523137537361596,0.032960179943403715,
400,56,57,0.0,0,0.0,0.001125,0.001125,0.0003899938905955117,0.0003899938905955117,0,0,False,True,2.3427870223451134e-13,0.06260613813282176,3.4227055192421475e-12,0.11191429139944438,
400,57,58,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.08255075014024998,0.002903227119418751,0.002440452441983496,0.030817653184729808,
400,58,59,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-2.2912426260546663e-12,0.00030187229525533647,3.780433477640983e-11,0.033611213535644315,
400,59,60,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.2671049607825,0.014865889157892725,0.004288007486900495,0.05627737831131825,
400,60,61,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.3130413994475,-0.00767058710357837,0.003915869190444018,0.044100144818306236,
400,61,62,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-1.4939657482837378e-32,-0.0012891473592433528,8.742047962891006e-31,0.03098912117181843,
400,62,63,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.1314868316035,0.01125186171583323,0.002646116775557054,0.048224848847857965,
400,63,64,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.06908177300625,-0.007299074961859843,0.0013523871231109273,0.03941613845433873,
400,64,65,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.11237318325425,0.005255919871841651,0.002021606691035129,0.03427236757733702,
400,65,66,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.12105104372150001,0.0028479081906688493,0.0026702762389857614,0.03220816888669238,
400,66,67,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.11353465312074999,0.005755733841495079,0.0020925905691771885,0.03628545244970746,
400,67,68,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-6.279136251996217e-13,0.000740339005370783,1.1627106464067592e-11,0.029206101735215765,
400,68,69,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-6.43414974902033e-26,-0.0041974225398145795,2.5127343971100335e-24,0.035022157743399125,
400,69,70,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.1025637136665,-0.007098611798382476,0.0024391014563944144,0.039698603967783616,
400,70,71,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.09194433462325,0.0035836996572643567,0.0028244796068675995,0.029112455968534474,
400,71,72,0.0,0,0.0,0.001375,0.001375,0.000476714482749109,0.000476714482749109,0,0,False,True,-0.147660173565,-0.04377115737993788,0.0031362662675301746,0.09408047980197319,
400,72,73,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.41824753970999995,0.041857764938587685,0.006568919232978737,0.09150693234119829,
400,73,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,3.0631386376607495e-35,0.0014078334766258278,1.5918124791592988e-33,0.03147276171020724,
